"Continent,Category,Percentage,Year"
"Europe,Good,15.09,2023"
"Europe,Satisfactory,41.51,2023"
"Europe,Problematic,26.42,2023"
"Europe,Difficult,11.32,2023"
"Europe,Very Serious,5.66,2023"
"North America,Good,35.71,2023"
"North America,Satisfactory,28.57,2023"
"North America,Problematic,21.43,2023"
"North America,Difficult,10.00,2023"
"North America,Very Serious,4.29,2023"
"Africa,Good,10.42,2023"
"Africa,Satisfactory,45.83,2023"
"Africa,Problematic,39.58,2023"
"Africa,Difficult,4.17,2023"
"Africa,Very Serious,0.00,2023"
"Asia,Good,21.88,2023"
"Asia,Satisfactory,28.13,2023"
"Asia,Problematic,21.88,2023"
"Asia,Difficult,14.06,2023"
"Asia,Very Serious,14.06,2023"
"South America,Good,10.42,2023"
"South America,Satisfactory,45.83,2023"
"South America,Problematic,39.58,2023"
"South America,Difficult,4.17,2023"
"South America,Very Serious,0.00,2023"
"Oceania,Good,21.88,2023"
"Oceania,Satisfactory,28.13,2023"
"Oceania,Problematic,21.88,2023"
"Oceania,Difficult,14.06,2023"
"Oceania,Very Serious,14.06,2023"
